"Zonnestroom; vermogen en vermogensklasse, bedrijven en woningen, regio"
"Sector en vermogensklasse: Alle economische activiteit en woningen"
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2021 ";"2022";"2023 **";"2024 eerste helft*"
"Beverwijk";"Opgesteld vermogen van zonnepanelen";"kWp";"13748";"19240";"23831";"26310"
"Beverwijk";"Opgesteld vermogen omvormers";"kW";"";"18108";"22085";"24146"
"Beverwijk";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"De Bilt";"Installaties";"aantal";"3152";"4443";"5682";"5966"
"De Bilt";"Opgesteld vermogen van zonnepanelen";"kWp";"17479";"23929";"31323";"32798"
"De Bilt";"Opgesteld vermogen omvormers";"kW";"";"22160";"28298";"29553"
"De Bilt";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Bladel";"Installaties";"aantal";"2651";"3419";"4285";"4457"
"Bladel";"Opgesteld vermogen van zonnepanelen";"kWp";"35120";"42891";"49717";"50963"
"Bladel";"Opgesteld vermogen omvormers";"kW";"";"36347";"42053";"43038"
"Bladel";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Blaricum";"Installaties";"aantal";"971";"1414";"1809";"1910"
"Blaricum";"Opgesteld vermogen van zonnepanelen";"kWp";"4197";"6244";"8302";"8854"
"Blaricum";"Opgesteld vermogen omvormers";"kW";"";"5790";"7524";"7985"
"Blaricum";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Bloemendaal";"Installaties";"aantal";"1545";"2040";"2870";"3047"
"Bloemendaal";"Opgesteld vermogen van zonnepanelen";"kWp";"7457";"10230";"14192";"15968"
"Bloemendaal";"Opgesteld vermogen omvormers";"kW";"";"9273";"12744";"13977"
"Bloemendaal";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Bodegraven-Reeuwijk";"Installaties";"aantal";"4083";"6117";"7437";"7705"
"Bodegraven-Reeuwijk";"Opgesteld vermogen van zonnepanelen";"kWp";"28457";"38825";"48510";"97954"
"Bodegraven-Reeuwijk";"Opgesteld vermogen omvormers";"kW";"";"35471";"43477";"88449"
"Bodegraven-Reeuwijk";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Boekel";"Installaties";"aantal";"1518";"1949";"2476";"2570"
"Boekel";"Opgesteld vermogen van zonnepanelen";"kWp";"31202";"35884";"41039";"41674"
"Boekel";"Opgesteld vermogen omvormers";"kW";"";"29198";"33569";"34122"
"Boekel";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Borger-Odoorn";"Installaties";"aantal";"4195";"5277";"6593";"6902"
"Borger-Odoorn";"Opgesteld vermogen van zonnepanelen";"kWp";"193712";"326244";"334818";"336719"
"Borger-Odoorn";"Opgesteld vermogen omvormers";"kW";"";"303976";"311457";"313106"
"Borger-Odoorn";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Borne";"Installaties";"aantal";"3157";"4082";"5306";"5594"
"Borne";"Opgesteld vermogen van zonnepanelen";"kWp";"16683";"21657";"28490";"30237"
"Borne";"Opgesteld vermogen omvormers";"kW";"";"20366";"26335";"27895"
"Borne";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Borsele";"Installaties";"aantal";"3840";"5527";"6330";"6537"
"Borsele";"Opgesteld vermogen van zonnepanelen";"kWp";"105402";"120088";"126953";"129728"
"Borsele";"Opgesteld vermogen omvormers";"kW";"";"94981";"100550";"102880"
"Borsele";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Boxmeer";"Installaties";"aantal";"3894";"";"";""
"Boxmeer";"Opgesteld vermogen van zonnepanelen";"kWp";"40631";"";"";""
"Boxmeer";"Opgesteld vermogen omvormers";"kW";"";"";"";""
"Boxmeer";"Productie van zonnestroom";"mln kWh";".";"";"";""
"Boxtel";"Installaties";"aantal";"4029";"5075";"6421";"6709"
"Boxtel";"Opgesteld vermogen van zonnepanelen";"kWp";"26149";"35275";"43042";"45064"
"Boxtel";"Opgesteld vermogen omvormers";"kW";"";"32694";"39354";"41132"
"Boxtel";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Breda";"Installaties";"aantal";"11910";"15876";"21906";"23404"
"Breda";"Opgesteld vermogen van zonnepanelen";"kWp";"121128";"143150";"178441";"189565"
"Breda";"Opgesteld vermogen omvormers";"kW";"";"120875";"150336";"159545"
"Breda";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Brielle";"Installaties";"aantal";"1609";"2366";"";""
"Brielle";"Opgesteld vermogen van zonnepanelen";"kWp";"9226";"13782";"";""
"Brielle";"Opgesteld vermogen omvormers";"kW";"";"12758";"";""
"Brielle";"Productie van zonnestroom";"mln kWh";".";".";"";""
"Bronckhorst";"Installaties";"aantal";"4777";"6007";"7697";"8088"
"Bronckhorst";"Opgesteld vermogen van zonnepanelen";"kWp";"41861";"53988";"69928";"72551"
"Bronckhorst";"Opgesteld vermogen omvormers";"kW";"";"48857";"62151";"64344"
"Bronckhorst";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Brummen";"Installaties";"aantal";"3343";"4140";"5117";"5380"
"Brummen";"Opgesteld vermogen van zonnepanelen";"kWp";"26801";"35152";"42408";"43931"
"Brummen";"Opgesteld vermogen omvormers";"kW";"";"31670";"37576";"38806"
"Brummen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Brunssum";"Installaties";"aantal";"3022";"3636";"4497";"4644"
"Brunssum";"Opgesteld vermogen van zonnepanelen";"kWp";"12938";"16400";"20320";"21033"
"Brunssum";"Opgesteld vermogen omvormers";"kW";"";"15758";"19215";"19851"
"Brunssum";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Bunnik";"Installaties";"aantal";"2276";"3024";"3558";"3683"
"Bunnik";"Opgesteld vermogen van zonnepanelen";"kWp";"14017";"18173";"22281";"47436"
"Bunnik";"Opgesteld vermogen omvormers";"kW";"";"16753";"20096";"39227"
