"Zonnestroom; vermogen en vermogensklasse, bedrijven en woningen, regio"
"Sector en vermogensklasse: Alle economische activiteit en woningen"
"";"";"";"Perioden"
"Regio's";"Onderwerp";"";"2021 ";"2022";"2023 **";"2024 eerste helft*"
"Ooststellingwerf";"Opgesteld vermogen omvormers";"kW";"";"109749";"126044";"127360"
"Ooststellingwerf";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Oostzaan";"Installaties";"aantal";"952";"1189";"1438";"1477"
"Oostzaan";"Opgesteld vermogen van zonnepanelen";"kWp";"6506";"7847";"9427";"9678"
"Oostzaan";"Opgesteld vermogen omvormers";"kW";"";"7363";"8753";"8964"
"Oostzaan";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Opmeer";"Installaties";"aantal";"1641";"2062";"2514";"2639"
"Opmeer";"Opgesteld vermogen van zonnepanelen";"kWp";"12104";"16045";"19882";"20668"
"Opmeer";"Opgesteld vermogen omvormers";"kW";"";"14766";"17866";"18496"
"Opmeer";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Opsterland";"Installaties";"aantal";"3984";"5030";"6202";"6591"
"Opsterland";"Opgesteld vermogen van zonnepanelen";"kWp";"45287";"67734";"79336";"81219"
"Opsterland";"Opgesteld vermogen omvormers";"kW";"";"58270";"67975";"69620"
"Opsterland";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Oss";"Installaties";"aantal";"11482";"14748";"18472";"19345"
"Oss";"Opgesteld vermogen van zonnepanelen";"kWp";"89990";"118363";"147910";"158424"
"Oss";"Opgesteld vermogen omvormers";"kW";"";"106802";"131111";"139775"
"Oss";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Oude IJsselstreek";"Installaties";"aantal";"5334";"6756";"8434";"8771"
"Oude IJsselstreek";"Opgesteld vermogen van zonnepanelen";"kWp";"43890";"56249";"71085";"91077"
"Oude IJsselstreek";"Opgesteld vermogen omvormers";"kW";"";"52608";"64676";"76593"
"Oude IJsselstreek";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Ouder-Amstel";"Installaties";"aantal";"1309";"1662";"1974";"2068"
"Ouder-Amstel";"Opgesteld vermogen van zonnepanelen";"kWp";"7199";"8304";"12242";"13120"
"Ouder-Amstel";"Opgesteld vermogen omvormers";"kW";"";"7766";"10615";"11325"
"Ouder-Amstel";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Oudewater";"Installaties";"aantal";"1118";"1547";"1926";"2019"
"Oudewater";"Opgesteld vermogen van zonnepanelen";"kWp";"7980";"11640";"14408";"15181"
"Oudewater";"Opgesteld vermogen omvormers";"kW";"";"10718";"13122";"13744"
"Oudewater";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Overbetuwe";"Installaties";"aantal";"5803";"7650";"9559";"9898"
"Overbetuwe";"Opgesteld vermogen van zonnepanelen";"kWp";"48441";"64214";"111963";"114141"
"Overbetuwe";"Opgesteld vermogen omvormers";"kW";"";"56878";"95932";"97762"
"Overbetuwe";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Papendrecht";"Installaties";"aantal";"2304";"3366";"4256";"4467"
"Papendrecht";"Opgesteld vermogen van zonnepanelen";"kWp";"11253";"15672";"20617";"21670"
"Papendrecht";"Opgesteld vermogen omvormers";"kW";"";"14554";"18707";"19627"
"Papendrecht";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Peel en Maas";"Installaties";"aantal";"7583";"9256";"11236";"11580"
"Peel en Maas";"Opgesteld vermogen van zonnepanelen";"kWp";"84264";"107766";"127689";"132764"
"Peel en Maas";"Opgesteld vermogen omvormers";"kW";"";"92361";"108690";"112992"
"Peel en Maas";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Pekela";"Installaties";"aantal";"1375";"2012";"2585";"2682"
"Pekela";"Opgesteld vermogen van zonnepanelen";"kWp";"19963";"28879";"84166";"87925"
"Pekela";"Opgesteld vermogen omvormers";"kW";"";"25987";"75499";"77975"
"Pekela";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Pijnacker-Nootdorp";"Installaties";"aantal";"6882";"9635";"11398";"11805"
"Pijnacker-Nootdorp";"Opgesteld vermogen van zonnepanelen";"kWp";"38290";"49049";"60458";"62691"
"Pijnacker-Nootdorp";"Opgesteld vermogen omvormers";"kW";"";"45901";"55610";"57557"
"Pijnacker-Nootdorp";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Purmerend";"Installaties";"aantal";"5280";"10163";"12768";"13519"
"Purmerend";"Opgesteld vermogen van zonnepanelen";"kWp";"30494";"53848";"68281";"71469"
"Purmerend";"Opgesteld vermogen omvormers";"kW";"";"48793";"61046";"63869"
"Purmerend";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Putten";"Installaties";"aantal";"2453";"3280";"4124";"4278"
"Putten";"Opgesteld vermogen van zonnepanelen";"kWp";"21349";"31928";"38864";"40222"
"Putten";"Opgesteld vermogen omvormers";"kW";"";"28728";"34782";"35956"
"Putten";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Raalte";"Installaties";"aantal";"6718";"7868";"9478";"9947"
"Raalte";"Opgesteld vermogen van zonnepanelen";"kWp";"52740";"64826";"76472";"79442"
"Raalte";"Opgesteld vermogen omvormers";"kW";"";"58051";"67761";"70420"
"Raalte";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Reimerswaal";"Installaties";"aantal";"2950";"4620";"5464";"5616"
"Reimerswaal";"Opgesteld vermogen van zonnepanelen";"kWp";"47405";"58071";"63920";"93163"
"Reimerswaal";"Opgesteld vermogen omvormers";"kW";"";"53766";"58769";"79447"
"Reimerswaal";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Renkum";"Installaties";"aantal";"3064";"3897";"4874";"5064"
"Renkum";"Opgesteld vermogen van zonnepanelen";"kWp";"14060";"18878";"23883";"24904"
"Renkum";"Opgesteld vermogen omvormers";"kW";"";"17772";"22039";"22907"
"Renkum";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Renswoude";"Installaties";"aantal";"610";"1003";"1187";"1257"
"Renswoude";"Opgesteld vermogen van zonnepanelen";"kWp";"7393";"10499";"12659";"13305"
"Renswoude";"Opgesteld vermogen omvormers";"kW";"";"9090";"10819";"11309"
"Renswoude";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Reusel-De Mierden";"Installaties";"aantal";"1737";"2283";"2866";"3039"
"Reusel-De Mierden";"Opgesteld vermogen van zonnepanelen";"kWp";"31146";"35578";"40345";"41505"
"Reusel-De Mierden";"Opgesteld vermogen omvormers";"kW";"";"31495";"35408";"36359"
"Reusel-De Mierden";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Rheden";"Installaties";"aantal";"3360";"4751";"6247";"6625"
"Rheden";"Opgesteld vermogen van zonnepanelen";"kWp";"22259";"28914";"37483";"39486"
"Rheden";"Opgesteld vermogen omvormers";"kW";"";"26693";"34196";"35974"
"Rheden";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Rhenen";"Installaties";"aantal";"2263";"3276";"4066";"4245"
"Rhenen";"Opgesteld vermogen van zonnepanelen";"kWp";"13748";"18336";"22909";"24325"
"Rhenen";"Opgesteld vermogen omvormers";"kW";"";"16659";"20571";"21830"
"Rhenen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Ridderkerk";"Installaties";"aantal";"3646";"5294";"6687";"7018"
"Ridderkerk";"Opgesteld vermogen van zonnepanelen";"kWp";"25364";"37236";"46927";"51157"
"Ridderkerk";"Opgesteld vermogen omvormers";"kW";"";"32601";"40575";"43187"
"Ridderkerk";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Rijssen-Holten";"Installaties";"aantal";"4045";"5330";"6932";"7293"
"Rijssen-Holten";"Opgesteld vermogen van zonnepanelen";"kWp";"55477";"67819";"77403";"80066"
"Rijssen-Holten";"Opgesteld vermogen omvormers";"kW";"";"58650";"66943";"69287"
"Rijssen-Holten";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Rijswijk (ZH.)";"Installaties";"aantal";"3865";"5868";"7001";"7444"
"Rijswijk (ZH.)";"Opgesteld vermogen van zonnepanelen";"kWp";"14083";"20901";"25650";"27084"
"Rijswijk (ZH.)";"Opgesteld vermogen omvormers";"kW";"";"19727";"23753";"25026"
"Rijswijk (ZH.)";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Roerdalen";"Installaties";"aantal";"3549";"4411";"5378";"5627"
"Roerdalen";"Opgesteld vermogen van zonnepanelen";"kWp";"21017";"26109";"32234";"33363"
"Roerdalen";"Opgesteld vermogen omvormers";"kW";"";"24650";"29953";"30953"
"Roerdalen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Roermond";"Installaties";"aantal";"6740";"8681";"11165";"11753"
"Roermond";"Opgesteld vermogen van zonnepanelen";"kWp";"43848";"55829";"72693";"76256"
"Roermond";"Opgesteld vermogen omvormers";"kW";"";"50732";"64505";"67513"
"Roermond";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"De Ronde Venen";"Installaties";"aantal";"5947";"7890";"9585";"10037"
"De Ronde Venen";"Opgesteld vermogen van zonnepanelen";"kWp";"26460";"36430";"45778";"48271"
"De Ronde Venen";"Opgesteld vermogen omvormers";"kW";"";"33943";"41799";"43929"
"De Ronde Venen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Roosendaal";"Installaties";"aantal";"6929";"8982";"11830";"12613"
"Roosendaal";"Opgesteld vermogen van zonnepanelen";"kWp";"99943";"114940";"131001";"137349"
"Roosendaal";"Opgesteld vermogen omvormers";"kW";"";"96107";"109976";"115172"
"Roosendaal";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Rotterdam";"Installaties";"aantal";"16672";"26794";"35062";"37180"
"Rotterdam";"Opgesteld vermogen van zonnepanelen";"kWp";"102091";"199782";"279892";"314868"
"Rotterdam";"Opgesteld vermogen omvormers";"kW";"";"167172";"226507";"250521"
"Rotterdam";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Rozendaal";"Installaties";"aantal";"288";"340";"395";"407"
"Rozendaal";"Opgesteld vermogen van zonnepanelen";"kWp";"1717";"2006";"2394";"2471"
"Rozendaal";"Opgesteld vermogen omvormers";"kW";"";"1911";"2242";"2306"
"Rozendaal";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Rucphen";"Installaties";"aantal";"2369";"3169";"4742";"4965"
"Rucphen";"Opgesteld vermogen van zonnepanelen";"kWp";"15015";"20988";"29164";"30591"
"Rucphen";"Opgesteld vermogen omvormers";"kW";"";"19145";"26037";"27279"
"Rucphen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Schagen";"Installaties";"aantal";"6153";"7917";"10096";"10903"
"Schagen";"Opgesteld vermogen van zonnepanelen";"kWp";"81077";"97076";"112026";"119956"
"Schagen";"Opgesteld vermogen omvormers";"kW";"";"86986";"100130";"105820"
"Schagen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Scherpenzeel";"Installaties";"aantal";"1090";"1523";"1864";"1920"
"Scherpenzeel";"Opgesteld vermogen van zonnepanelen";"kWp";"8034";"11505";"14163";"14459"
"Scherpenzeel";"Opgesteld vermogen omvormers";"kW";"";"10688";"12919";"13178"
"Scherpenzeel";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Schiedam";"Installaties";"aantal";"2951";"4600";"5727";"6144"
"Schiedam";"Opgesteld vermogen van zonnepanelen";"kWp";"15845";"22505";"28579";"30372"
"Schiedam";"Opgesteld vermogen omvormers";"kW";"";"20929";"26273";"27914"
"Schiedam";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Schiermonnikoog";"Installaties";"aantal";"193";"260";"294";"307"
"Schiermonnikoog";"Opgesteld vermogen van zonnepanelen";"kWp";"2474";"2868";"3093";"3160"
"Schiermonnikoog";"Opgesteld vermogen omvormers";"kW";"";"2683";"2883";"2943"
"Schiermonnikoog";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Schouwen-Duiveland";"Installaties";"aantal";"5531";"8829";"10437";"10824"
"Schouwen-Duiveland";"Opgesteld vermogen van zonnepanelen";"kWp";"46069";"62466";"72047";"74187"
"Schouwen-Duiveland";"Opgesteld vermogen omvormers";"kW";"";"54354";"62790";"64696"
"Schouwen-Duiveland";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Simpelveld";"Installaties";"aantal";"1335";"1613";"2148";"2310"
"Simpelveld";"Opgesteld vermogen van zonnepanelen";"kWp";"6563";"8464";"11093";"11851"
"Simpelveld";"Opgesteld vermogen omvormers";"kW";"";"7971";"10305";"10977"
"Simpelveld";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Sint Anthonis";"Installaties";"aantal";"1584";"";"";""
"Sint Anthonis";"Opgesteld vermogen van zonnepanelen";"kWp";"25864";"";"";""
"Sint Anthonis";"Opgesteld vermogen omvormers";"kW";"";"";"";""
"Sint Anthonis";"Productie van zonnestroom";"mln kWh";".";"";"";""
"Sint-Michielsgestel";"Installaties";"aantal";"4139";"5021";"6262";"6554"
"Sint-Michielsgestel";"Opgesteld vermogen van zonnepanelen";"kWp";"25768";"33338";"42928";"44624"
"Sint-Michielsgestel";"Opgesteld vermogen omvormers";"kW";"";"30609";"38845";"40305"
"Sint-Michielsgestel";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Sittard-Geleen";"Installaties";"aantal";"10848";"13980";"17644";"18369"
"Sittard-Geleen";"Opgesteld vermogen van zonnepanelen";"kWp";"76546";"100823";"127426";"131116"
"Sittard-Geleen";"Opgesteld vermogen omvormers";"kW";"";"89739";"110181";"113448"
"Sittard-Geleen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Sliedrecht";"Installaties";"aantal";"1841";"2725";"3430";"3737"
"Sliedrecht";"Opgesteld vermogen van zonnepanelen";"kWp";"13311";"16859";"21121";"23525"
"Sliedrecht";"Opgesteld vermogen omvormers";"kW";"";"15616";"19219";"21131"
"Sliedrecht";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Sluis";"Installaties";"aantal";"3214";"5336";"6424";"6725"
"Sluis";"Opgesteld vermogen van zonnepanelen";"kWp";"20829";"32935";"43558";"51035"
"Sluis";"Opgesteld vermogen omvormers";"kW";"";"30682";"38928";"44219"
"Sluis";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Smallingerland";"Installaties";"aantal";"7064";"9179";"11521";"12085"
"Smallingerland";"Opgesteld vermogen van zonnepanelen";"kWp";"54173";"68601";"85105";"89479"
"Smallingerland";"Opgesteld vermogen omvormers";"kW";"";"61308";"75488";"79271"
"Smallingerland";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Soest";"Installaties";"aantal";"4532";"6168";"7470";"7822"
"Soest";"Opgesteld vermogen van zonnepanelen";"kWp";"25123";"33498";"41177";"42983"
"Soest";"Opgesteld vermogen omvormers";"kW";"";"30872";"37236";"38808"
"Soest";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Someren";"Installaties";"aantal";"3095";"3954";"4936";"5202"
"Someren";"Opgesteld vermogen van zonnepanelen";"kWp";"60515";"69046";"85755";"87485"
"Someren";"Opgesteld vermogen omvormers";"kW";"";"60085";"73450";"74936"
"Someren";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Son en Breugel";"Installaties";"aantal";"2563";"3201";"3922";"4098"
"Son en Breugel";"Opgesteld vermogen van zonnepanelen";"kWp";"30122";"35542";"39824";"40736"
"Son en Breugel";"Opgesteld vermogen omvormers";"kW";"";"31269";"35005";"35780"
"Son en Breugel";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Stadskanaal";"Installaties";"aantal";"3319";"4413";"6022";"6595"
"Stadskanaal";"Opgesteld vermogen van zonnepanelen";"kWp";"141817";"177475";"189035";"191499"
"Stadskanaal";"Opgesteld vermogen omvormers";"kW";"";"165074";"174902";"177048"
"Stadskanaal";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Staphorst";"Installaties";"aantal";"1820";"2428";"3054";"3208"
"Staphorst";"Opgesteld vermogen van zonnepanelen";"kWp";"17136";"20790";"26027";"27638"
"Staphorst";"Opgesteld vermogen omvormers";"kW";"";"19300";"23879";"25326"
"Staphorst";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Stede Broec";"Installaties";"aantal";"3041";"3882";"4658";"4923"
"Stede Broec";"Opgesteld vermogen van zonnepanelen";"kWp";"17830";"21673";"26827";"27847"
"Stede Broec";"Opgesteld vermogen omvormers";"kW";"";"20202";"24634";"25552"
"Stede Broec";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Steenbergen";"Installaties";"aantal";"3139";"4017";"5047";"5228"
"Steenbergen";"Opgesteld vermogen van zonnepanelen";"kWp";"27627";"33961";"43693";"44643"
"Steenbergen";"Opgesteld vermogen omvormers";"kW";"";"31501";"39365";"40205"
"Steenbergen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Steenwijkerland";"Installaties";"aantal";"5159";"6609";"8359";"9148"
"Steenwijkerland";"Opgesteld vermogen van zonnepanelen";"kWp";"35938";"44732";"56300";"60166"
"Steenwijkerland";"Opgesteld vermogen omvormers";"kW";"";"41192";"51232";"54604"
"Steenwijkerland";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Stein (L.)";"Installaties";"aantal";"4344";"5112";"6032";"6267"
"Stein (L.)";"Opgesteld vermogen van zonnepanelen";"kWp";"20591";"26965";"32367";"33434"
"Stein (L.)";"Opgesteld vermogen omvormers";"kW";"";"25477";"30147";"31120"
"Stein (L.)";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Stichtse Vecht";"Installaties";"aantal";"5829";"8060";"10222";"10749"
"Stichtse Vecht";"Opgesteld vermogen van zonnepanelen";"kWp";"27483";"38526";"52706";"58271"
"Stichtse Vecht";"Opgesteld vermogen omvormers";"kW";"";"35257";"47027";"51279"
"Stichtse Vecht";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Súdwest-Fryslân";"Installaties";"aantal";"11944";"15142";"18716";"19926"
"Súdwest-Fryslân";"Opgesteld vermogen van zonnepanelen";"kWp";"88091";"110726";"134268";"140725"
"Súdwest-Fryslân";"Opgesteld vermogen omvormers";"kW";"";"102678";"122913";"128568"
"Súdwest-Fryslân";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Terneuzen";"Installaties";"aantal";"7231";"11169";"12930";"13409"
"Terneuzen";"Opgesteld vermogen van zonnepanelen";"kWp";"76976";"157369";"255292";"257713"
"Terneuzen";"Opgesteld vermogen omvormers";"kW";"";"137363";"223246";"225459"
"Terneuzen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Terschelling";"Installaties";"aantal";"535";"650";"1087";"1141"
"Terschelling";"Opgesteld vermogen van zonnepanelen";"kWp";"4437";"5254";"7572";"7862"
"Terschelling";"Opgesteld vermogen omvormers";"kW";"";"4858";"6802";"7042"
"Terschelling";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Texel";"Installaties";"aantal";"2172";"2699";"3305";"3469"
"Texel";"Opgesteld vermogen van zonnepanelen";"kWp";"16156";"19006";"24386";"25463"
"Texel";"Opgesteld vermogen omvormers";"kW";"";"17908";"22273";"23216"
"Texel";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Teylingen";"Installaties";"aantal";"4502";"5854";"7234";"7574"
"Teylingen";"Opgesteld vermogen van zonnepanelen";"kWp";"26680";"33598";"40762";"42706"
"Teylingen";"Opgesteld vermogen omvormers";"kW";"";"32187";"38430";"40123"
"Teylingen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Tholen";"Installaties";"aantal";"3502";"5657";"6500";"6652"
"Tholen";"Opgesteld vermogen van zonnepanelen";"kWp";"45911";"57816";"62740";"63703"
"Tholen";"Opgesteld vermogen omvormers";"kW";"";"52152";"56434";"57232"
"Tholen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Tiel";"Installaties";"aantal";"3640";"5521";"7028";"7552"
"Tiel";"Opgesteld vermogen van zonnepanelen";"kWp";"29154";"40784";"49187";"52788"
"Tiel";"Opgesteld vermogen omvormers";"kW";"";"36225";"43444";"46396"
"Tiel";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Tilburg";"Installaties";"aantal";"17576";"24283";"32426";"34353"
"Tilburg";"Opgesteld vermogen van zonnepanelen";"kWp";"136306";"219231";"275853";"283972"
"Tilburg";"Opgesteld vermogen omvormers";"kW";"";"186885";"233008";"239765"
"Tilburg";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Tubbergen";"Installaties";"aantal";"2489";"3386";"4397";"4645"
"Tubbergen";"Opgesteld vermogen van zonnepanelen";"kWp";"27436";"38634";"49013";"50962"
"Tubbergen";"Opgesteld vermogen omvormers";"kW";"";"34535";"43353";"45017"
"Tubbergen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Twenterand";"Installaties";"aantal";"3530";"4801";"6419";"6893"
"Twenterand";"Opgesteld vermogen van zonnepanelen";"kWp";"54948";"63543";"74487";"77257"
"Twenterand";"Opgesteld vermogen omvormers";"kW";"";"54097";"63612";"66044"
"Twenterand";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Tynaarlo";"Installaties";"aantal";"6032";"7653";"9425";"9741"
"Tynaarlo";"Opgesteld vermogen van zonnepanelen";"kWp";"74263";"83685";"93561";"95955"
"Tynaarlo";"Opgesteld vermogen omvormers";"kW";"";"72633";"81387";"83493"
"Tynaarlo";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Tytsjerksteradiel";"Installaties";"aantal";"5029";"6380";"7692";"7970"
"Tytsjerksteradiel";"Opgesteld vermogen van zonnepanelen";"kWp";"41721";"48221";"56472";"58265"
"Tytsjerksteradiel";"Opgesteld vermogen omvormers";"kW";"";"43605";"50706";"52228"
"Tytsjerksteradiel";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Uden";"Installaties";"aantal";"6974";"";"";""
"Uden";"Opgesteld vermogen van zonnepanelen";"kWp";"59657";"";"";""
"Uden";"Opgesteld vermogen omvormers";"kW";"";"";"";""
"Uden";"Productie van zonnestroom";"mln kWh";".";"";"";""
"Uitgeest";"Installaties";"aantal";"2327";"2859";"3291";"3511"
"Uitgeest";"Opgesteld vermogen van zonnepanelen";"kWp";"9127";"11944";"14310";"15233"
"Uitgeest";"Opgesteld vermogen omvormers";"kW";"";"11234";"13241";"14011"
"Uitgeest";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Uithoorn";"Installaties";"aantal";"3286";"4356";"5114";"5355"
"Uithoorn";"Opgesteld vermogen van zonnepanelen";"kWp";"22881";"28051";"32011";"33224"
"Uithoorn";"Opgesteld vermogen omvormers";"kW";"";"25611";"29001";"30001"
"Uithoorn";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Urk";"Installaties";"aantal";"1731";"2576";"3429";"3565"
"Urk";"Opgesteld vermogen van zonnepanelen";"kWp";"12461";"17721";"24739";"25875"
"Urk";"Opgesteld vermogen omvormers";"kW";"";"17177";"23637";"24705"
"Urk";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Utrecht (gemeente)";"Installaties";"aantal";"25451";"35411";"43101";"45640"
"Utrecht (gemeente)";"Opgesteld vermogen van zonnepanelen";"kWp";"128928";"167052";"210518";"221846"
"Utrecht (gemeente)";"Opgesteld vermogen omvormers";"kW";"";"152078";"187821";"197543"
"Utrecht (gemeente)";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Utrechtse Heuvelrug";"Installaties";"aantal";"5992";"8155";"9970";"10386"
"Utrechtse Heuvelrug";"Opgesteld vermogen van zonnepanelen";"kWp";"28576";"38648";"49075";"51349"
"Utrechtse Heuvelrug";"Opgesteld vermogen omvormers";"kW";"";"35558";"44443";"46394"
"Utrechtse Heuvelrug";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Vaals";"Installaties";"aantal";"1114";"1274";"1544";"1621"
"Vaals";"Opgesteld vermogen van zonnepanelen";"kWp";"4283";"5321";"6884";"7200"
"Vaals";"Opgesteld vermogen omvormers";"kW";"";"5119";"6505";"6792"
"Vaals";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Valkenburg aan de Geul";"Installaties";"aantal";"1838";"2301";"2887";"3080"
"Valkenburg aan de Geul";"Opgesteld vermogen van zonnepanelen";"kWp";"10450";"13239";"17393";"18846"
"Valkenburg aan de Geul";"Opgesteld vermogen omvormers";"kW";"";"12531";"16032";"17251"
"Valkenburg aan de Geul";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Valkenswaard";"Installaties";"aantal";"4304";"5266";"6695";"6992"
"Valkenswaard";"Opgesteld vermogen van zonnepanelen";"kWp";"26683";"34004";"42467";"44037"
"Valkenswaard";"Opgesteld vermogen omvormers";"kW";"";"30847";"37957";"39273"
"Valkenswaard";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Veendam";"Installaties";"aantal";"4194";"5282";"6214";"6683"
"Veendam";"Opgesteld vermogen van zonnepanelen";"kWp";"51816";"63109";"68014";"71424"
"Veendam";"Opgesteld vermogen omvormers";"kW";"";"55644";"59998";"63242"
"Veendam";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Veenendaal";"Installaties";"aantal";"7380";"10229";"12787";"13333"
"Veenendaal";"Opgesteld vermogen van zonnepanelen";"kWp";"38059";"51483";"63756";"66557"
"Veenendaal";"Opgesteld vermogen omvormers";"kW";"";"47156";"57533";"59855"
"Veenendaal";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Veere";"Installaties";"aantal";"3977";"5728";"6652";"6901"
"Veere";"Opgesteld vermogen van zonnepanelen";"kWp";"25551";"34251";"40749";"42324"
"Veere";"Opgesteld vermogen omvormers";"kW";"";"32494";"38009";"39329"
"Veere";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Veldhoven";"Installaties";"aantal";"5710";"7319";"9355";"9848"
"Veldhoven";"Opgesteld vermogen van zonnepanelen";"kWp";"37255";"46770";"58345";"60545"
"Veldhoven";"Opgesteld vermogen omvormers";"kW";"";"42864";"52749";"54521"
"Veldhoven";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Velsen";"Installaties";"aantal";"4390";"5999";"7714";"8235"
"Velsen";"Opgesteld vermogen van zonnepanelen";"kWp";"24003";"34392";"41728";"46776"
"Velsen";"Opgesteld vermogen omvormers";"kW";"";"30880";"37364";"40635"
"Velsen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Venlo";"Installaties";"aantal";"13511";"17497";"21625";"22623"
"Venlo";"Opgesteld vermogen van zonnepanelen";"kWp";"146172";"206570";"271692";"278447"
"Venlo";"Opgesteld vermogen omvormers";"kW";"";"171976";"215946";"221584"
"Venlo";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Venray";"Installaties";"aantal";"7270";"8756";"10369";"10725"
"Venray";"Opgesteld vermogen van zonnepanelen";"kWp";"91638";"108985";"126271";"129555"
"Venray";"Opgesteld vermogen omvormers";"kW";"";"94347";"107416";"110217"
"Venray";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Vijfheerenlanden";"Installaties";"aantal";"7235";"11013";"13461";"13980"
"Vijfheerenlanden";"Opgesteld vermogen van zonnepanelen";"kWp";"46409";"66158";"81332";"85601"
"Vijfheerenlanden";"Opgesteld vermogen omvormers";"kW";"";"60347";"73067";"76255"
"Vijfheerenlanden";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Vlaardingen";"Installaties";"aantal";"3587";"5320";"6952";"7233"
"Vlaardingen";"Opgesteld vermogen van zonnepanelen";"kWp";"15813";"22719";"30583";"32791"
"Vlaardingen";"Opgesteld vermogen omvormers";"kW";"";"20829";"27629";"29456"
"Vlaardingen";"Productie van zonnestroom";"mln kWh";".";".";".";"."
"Vlieland";"Installaties";"aantal";"221";"331";"380";"387"
